"";"address";"city";"country";"name";"province";"reviews.date";"reviews.text";"reviews.title";"reviews.username";"cleaned";"document";"positive";"negative";"tflabel";"tf_idf_positive";"tf_idf_negative";"label_tf_idf";"comparison";"deg_of_sentiment";"rating"
"1089";"4963 Southport Supply Rd";"Southport";"US";"Comfort Suites Southport";"Blng Spg Lks";2015-03-12;"The staff was very friendly and efficient. An added touch was the fresh popcorn made each afternoon. It was a welcome surprise. Another feature that adds to my stay is the inclusion of breakfast and a fresh cup of coffee. My only complaint is that sound was easily heard between rooms. It seems many hotels have this problem. Other than that I have a very pleasant stay.";"Very comfortable hotel close to my future home.";"Diana";" staff friendly efficient add touch fresh popcorn make afternoon welcome surprise another feature add stay inclusion breakfast fresh cup coffee complaint sound easily hear room seem many hotel problem pleasant stay comfortable hotel close future home";"text41";7;2;"positive";0,349658827092995;0,941913147508032;"negative";"different";-0,592254320415037;"5"
"10148";"1 Main St";"Las Vegas";"US";"Plaza Hotel and Casino - Las Vegas";"NV";2016-05-27;"Went for Punk Rock Bowling. Right in front of the Fremont Experience. Pretty cool. Parking is free once you check in and they'll reimburse the money you used to enter the first time. Bathroom had no window which was weird but got used to it. The best part was live bands playing at the pool. Freakin Angelic upstarts played for free. Dope";"Punk rock hotel for punk rock bowling";"Lening";" go punk rock bowl right front fremont experience pretty cool park free check reimburse money use enter first time bathroom window weird get use good part live band play pool freakin angelic upstart play free dope punk rock hotel punk rock bowl";"text299";7;2;"positive";0,349658827092995;0,941913147508032;"negative";"different";-0,592254320415037;"5"
"12872";"1071 E El Camino Real";"Sunnyvale";"US";"Cherry Orchard Inn";"CA";2015-08-17;"Check in was great. The girl at the counter was really nice and let me check in a little early. Coffee and tea both in the lobby and in the room--along with a microwave and a refrigerator. I booked this hotel because I was a woman travelling alone and I liked the inside corridors. But that safety feature was blown out of the water because they prop the doors at both ends of the hallway open all day. The pool was dirty, but I didn't use it, but if I wanted to, I wouldn't have. In the morning there was a homeless person walking through the hallways and going through the garbage. The decor was old and worn (holes in the draperies), but it appeared passably clean. 2 soups, shampoo, conditioner, body lotion, a make-up remover pacakge, Q-tips, and cotton balls were all provided. Breakfast was OK. Lots of pre-packaged food, but the eggs they advertised were obviously powdered--they were in the shape of squares! Cereal, muffins, bread, toaster, no peanut butter, boiled eggs, cheese slices (american), hot sausage and a waffle maker. So that was OK. At 167 with tax it's one of the cheaper places in Sunnyvale and if you're just there for the night because you have to go to family court down the street, it's OK. I have to go there again next month and I'll probably stay here again--but if I had more money, it would NOT be my choice.";"Cheap place near the courthouse, but kinda scary.";"NearCourtHouse";" check great girl counter really nice let check little early coffee tea lobby room along microwave refrigerator book hotel woman travel alone like inside corridor safety feature blow water prop door end hallway open day pool dirty use want morning homeless person walk hallway go garbage decor old wear hole drapery appear passably clean soup shampoo conditioner body lotion make remover pacakge q tip cotton ball provide breakfast okay lot pre package food egg advertise obviously powder shape square cereal muffin bread toaster peanut butter boil egg cheese slice american hot sausage waffle maker okay tax one cheap place sunnyvale just night go family court street okay go next month probably stay much money choice cheap place near courthouse kinda scary";"text408";7;2;"positive";0,349658827092995;0,941913147508032;"negative";"different";-0,592254320415037;"5"
"20073";"309 N Peters Rd";"Knoxville";"US";"Microtel Inn By Wyndham Knoxville";"Concord Farragut";2016-08-04;"I booked this hotel because I just wanted a place to sleep for a couple of hours on my way from NC to KY. For forty some dollars I feel that I got what I paid for. I liked that it was close to I40 and the front desk was manned at my 3:30am arrival. As soon as I entered the room it had a noticeable bad smell - the smell wasn't unbearable - and was quite warmer than the lobby and outside temperature even with the AC in full force. The furniture was outdated and the room didn't have a microwave. I would not stay here if you are looking to be comfortable, however, for what I needed it was perfect: cheap, not far from the hwy, easy check in and out. Would recommend if you are heading west or north of TN and Knoxville is an opportune place to stop for a short amount of time. Would not recommend if you are trying to enjoy the city for a couple days.";"Short stay, not terrible";"Akajun";" book hotel just want place sleep couple hour way nc ky forty dollar feel get pay like close i front desk man am arrival soon enter room noticeable bad smell smell unbearable quite warm lobby outside temperature even ac full force furniture outdate room microwave stay look comfortable however need perfect cheap far hwy easy check recommend head west north tn knoxville opportune place stop short amount time recommend try enjoy city couple day short stay terrible";"text781";7;2;"positive";0,349658827092995;0,941913147508032;"negative";"different";-0,592254320415037;"5"
"30499";"2731 S Carson St";"Carson City";"US";"Americas Best Value Inn";"Carson Colony";2016-05-27;"Our stay was pleasant. Staff was nice and accomodating. Had to go to office to get toilet paper. The room was pretty much clean. The location was great a short drive to Reno or Lake Tahoe. Down the road from the reilroad museum. I was kind of sceptical about staying there based on previous reviews but the reviews were worse than I expected. I would stay there again. If you are not looking for luxury and just need a place to stay I would recommend this place. Continental breakfast as well.";"Overall good place to stay.";"Thelma";" stay pleasant staff nice accomodating go office get toilet paper room pretty much clean location great short drive reno lake tahoe road reilroad museum kind sceptical stay base previous review review bad expect stay look luxury just need place stay recommend place continental breakfast good overall good place stay";"text1166";7;2;"positive";0,349658827092995;0,941913147508032;"negative";"different";-0,592254320415037;"5"
"34506";"425 Ocean Dr";"Miami Beach";"US";"The Savoy Hotel";"Venetian Islands";2016-05-11;"Perfect location right at the end of Ocean Drive. Hotel staff was helpful. Beach attendant with the chairs was a little rude (however I am guessing he wasn't employed with the hotel- it was an outside company). Bed felt like I was sleeping on the floor. Only 1 mirror in the suite, and it was in the bathroom (made it a little difficult getting ready for 3 ladies, but we survived). Pool area is secluded and almost like a hidden oasis. Overall it was excellent, I am already looking forward to going back.";"Perfect Location";"Chris";" perfect location right end ocean drive hotel staff helpful beach attendant chair little rude however guess employ hotel outside company bed feel like sleep floor mirror suite bathroom make little difficult get ready lady survive pool area seclude almost like hide oasis overall excellent already look forward go back perfect location";"text1356";7;2;"positive";0,349658827092995;0,941913147508032;"negative";"different";-0,592254320415037;"5"
"102";"1700 N Livermore Ave";"Livermore";"US";"Hawthorn Suites By Wyndham Livermore Wine Country";"CA";2015-02-06;"The pictures on the web site were more expensive looking then the reality. We were told we had one of the best rooms, besides staring at cargo containers, the TV would not work so they changed our room. It was not well furnished and we could not regulate the air conditioner (way too warm for sleeping). The continental breakfast was good and the staff was very nice and helpful. The linens were harsh and uncomfortable. Sorry, but this was not at all what I expected and it was certainly unacceptable.";"Not that happy";"Melody";" picture web site much expensive look reality tell one good room besides stare cargo container tv work change room good furnish can regulate air conditioner way warm sleep continental breakfast good staff nice helpful linen harsh uncomfortable sorry expect certainly unacceptable happy";"text7";8;2;"positive";0,39961008810628;0,941913147508032;"negative";"different";-0,542303059401752;"5"
"7035";"Av Juarez 76 Colonel Centro";"Bristol";"US";"Fiesta Inn Centro Historico";"CT";2015-06-15;"Fiesta Inn Centro Historico is right next door to the hotel I usually stay at, and it's less than half the price. Overall, it's a good hotel at a good price. However, there are some logistics problems - the entrance to the hotel is in the back of a small shopping mall area, so you have to go through the mall and take an elevator up to the hotel lobby. There is no real drop off location for taxis, and if someone is picking you up you need to make sure you clarify which of the three mall entrances they will come to ... or walk across the street and meet at the hotel next door. That said, the room was clean and spacious, the hotel restaurant was quite pleasant, and the staff was very friendly and helpful.";"Great location but some frustrating logistics";"David";" fiesta inn centro historico right next door hotel usually stay little half price overall good hotel good price however logistic problem entrance hotel back small shop mall area go mall take elevator hotel lobby real drop location taxi someone pick need make sure clarify three mall entrance come walk across street meet hotel next door say room clean spacious hotel restaurant quite pleasant staff friendly helpful great location frustrate logistic";"text199";8;2;"positive";0,39961008810628;0,941913147508032;"negative";"different";-0,542303059401752;"5"
"16305";"131 E Mccullough Dr";"Charlotte";"US";"Country Inn and Suites By Carlson Charlotte University Place";"NC";2016-08-02;"Came to UNC Charlotte for one week (business). First, checked into the Microtel next door which was filled with garbage at entrance, run down, moldy, and staff members were rude and unfriendly. Moved to Country Inn - a night and day comparison. The entrance was welcoming, room was spacious, clean, and comfortable, and the staff - every single person- was helpful and exceedingly polite and friendly. They all really seemed to care about our stay and went out of their way to make us comfortable. I highly recommend this hotel.";"Excellent value!";"Laura";" come unc charlotte one week business first check microtel next door fill garbage entrance run moldy staff member rude unfriendly move country inn night day comparison entrance welcome room spacious clean comfortable staff every single person helpful exceedingly polite friendly really seem care stay go way make us comfortable highly recommend hotel excellent value";"text598";8;2;"positive";0,39961008810628;0,941913147508032;"negative";"different";-0,542303059401752;"5"
"17945";"Grosse Neugasse 36 38";"Raymond";"US";"Hotel An Der Philharmonie";"IA";2013-11-27;"As a business traveller it was important to me that the Wif-Fi worked. It was really atrocious. It was actually easier to join the network if a neighbouring hotel but of course I had no password. The wi-fi also doesn't support SSL so it's a very hackable (i.e. not secure) connection. When I checked in there was nobody on the desk for about 10 minutes, forcing me to wait with my colleague in a taxi outside. The room itself was OK but there were stains on the carpets and the suite consisted of two single beds which was very disappointing. The TV has only German channels. I closed my window before going out because it was cold but when I returned someone had opened it again and the room was freezing. On a plus side, there is a safe and the power and temperature in the shower were excellent.";"Terrible Wi-Fi";"Shane";" business traveller important wif fi work really atrocious actually easy join network neighbour hotel course password wi fi also support ssl hackable e secure connection check nobody desk minute force wait colleague taxi outside room okay stain carpet suite consist two single bed disappoint tv german channel close window go cold return someone open room freeze plus side safe power temperature shower excellent terrible wi fi";"text698";8;2;"positive";0,39961008810628;0,941913147508032;"negative";"different";-0,542303059401752;"5"
"20262";"4965 Montevallo Rd";"Birmingham";"US";"Comfort Inn Birmingham - Irondale";"Jefferson Park";2015-07-31;"We loved this hotel but were greeted by a lovely lady on check in who was friendly, efficient and helpful. The morning staff however took minutes to get to the front desk, acted like we had interfered with their break and couldn't be bothered doing a receipt. The Hotel itself we couldn't fault. The room was clean and welcoming and... More";"Great hotel but staff reception varies";"glassyartist";" love hotel greet lovely lady check friendly efficient helpful morning staff however take minute get front desk act like interfere break bother receipt hotel fault room clean welcome much great hotel staff reception vary";"text786";8;2;"positive";0,39961008810628;0,941913147508032;"negative";"different";-0,542303059401752;"5"
"32690";"88 E Nationwide Blvd";"Columbus";"US";"Drury Inn and Suites Columbus Convention Center";"OH";2016-02-22;"The room was big and comfortable. The free happy hour and food was nice. My only suggestion would be to have more of a variety for breakfast and dinner which includes more healthier options. I stayed here for three days. By the third day the same thing for breakfast was getting very boring. Also, dinner was exactly the same Monday and Wednesday. My option were further limited by my low-carb diet. It was still definitely nice and worth it for the price.";"Nice freebies";"Christopher";" room big comfortable free happy hour food nice suggestion much variety breakfast dinner include much healthy option stay three day day thing breakfast get bore also dinner exactly monday wednesday option far limit low carb diet still definitely nice worth price nice freebie";"text1260";8;2;"positive";0,39961008810628;0,941913147508032;"negative";"different";-0,542303059401752;"5"
"34997";"Calo Des Corral S/n";"Ridgefield Park";"US";"Inturotel Esmeralda Park";"NJ";2015-06-07;"This was our first holiday (flight and hotel stay) with our nearly 3 yrs old. From our point of view it was really good as their is plenty to do in and just outside of the hotel complex. The swimming pool had a seperate toddler pool and the larger pools also had a shallow end which was quite safe for them. We stayed in a deluxe room and was not disappointed. We stayed self catering so did not use the restaurant at all but talking to other guests it was ok. I had a look at the breakfast one morning and it looked good. The surrounding areas which are in easy walking distance had a great choice of bars and restaurant's and it was nice to walk out every evening to wander round. The shops were all pretty much what you would expect from a Spanish resort area (mostly gift shops) but there were plenty of small supermarkets dotted around so it was easy to just pop out on foot to get some supplies. The evening entertainment was quite good and the kids loved it. But I'm not sure I would have liked to be staying right next to it as it went on quite late and if you were trying to sleep a child it would be impossible. My only bad point was the pool area, far too small for the amount of guests and sunbeds they have. You had to navigate your way around as everyone was squashed in, and the stairs to the beach bar (which was good) was often semi blocked by sunbathers! Would I go back No, as nothing was excellent just good but dont get me wrong we really had a good time.";"First summer holiday with toddler";"Martin";" first holiday flight hotel stay nearly yr old point view really good plenty just outside hotel complex swim pool seperate toddler pool large pool also shallow end quite safe stay deluxe room disappoint stay self cater use restaurant talk guest okay look breakfast one morning look good surround area easy walk distance great choice bar restaurants nice walk every even wander round shop pretty much expect spanish resort area mostly gift shop plenty small supermarket dot around easy just pop foot get supply even entertainment quite good kid love sure like stay right next go quite late try sleep child impossible bad point pool area far small amount guest sunbed navigate way around everyone squash stair beach bar good often semi block sunbather go back nothing excellent just good get wrong really good time first summer holiday toddler";"text1372";18;3;"positive";0,899122698239131;1,41286972126205;"negative";"different";-0,513747023022917;"5"
"3569";"210 Ludlow St";"Warren";"US";"Days Inn Warren";"PA";2013-07-30;"This was the worst hotel experience ever! We checked in got into our room and that was the first part of the nightmare. Peeling wallpaper and mold in the bathroom. Stained carpets in the bedroom. The pool had a layer of scum coating the surface and the gym equipment was non functional. To top it off the entire hotel had a lingering diesel odor. BEWARE before you book here.";"Nightmare";"melissa";" bad hotel experience ever check get room first part nightmare peel wallpaper mold bathroom stain carpet bedroom pool layer scum coat surface gym equipment non functional top entire hotel linger diesel odor beware book nightmare";"text113";0;1;"negative";0;0,470956573754016;"negative";"same";-0,470956573754016;"5"
"4415";"1807 Golden Mile Hwy";"Pittsburgh";"US";"Super 8 Pittsburgh/monroeville";"Pitt";2015-05-06;"Phone and internet signal extremely weak. Room has refrigerator and microwave. Very close to grocery and shopping. Much more reasonable cost than most other hotels at the time.";"business trip";"brian";" phone internet signal extremely weak room refrigerator microwave close grocery shop much much reasonable cost much hotel time business trip";"text135";0;1;"negative";0;0,470956573754016;"negative";"same";-0,470956573754016;"5"
"6467";"9800 Bonita Beach Rd";"Bonita Springs";"US";"Comfort Inn";"FL";2015-07-23;"This hotel has everything you can expect from a low budget hotel. Breakfast has varied item. There's a lot of space in the breakfast area. Room are clean and has been renovated. We were there only one night and we ended saying that we should have stayed longer.";"Real deal";"LesGosselins";" hotel everything can expect low budget hotel breakfast vary item lot space breakfast area room clean renovate one night end say stay long real deal";"text169";0;1;"negative";0;0,470956573754016;"negative";"same";-0,470956573754016;"5"
"6841";"4691 Castleton Way";"Castle Rock";"US";"Days Inn & Suites Castle Rock";"CO";2015-08-24;"Stain on sheets, smell of smoke made us sick..........breakfast was really sad, one guest took more then half of what was offered, had to get kids something else.";"Room for football tournament";"Lorrie";" stain sheet smell smoke make us sick breakfast really sad one guest take much half offer get kid something else room football tournament";"text184";0;1;"negative";0;0,470956573754016;"negative";"same";-0,470956573754016;"5"
"8258";"232 E White Horse Pike";"Absecon";"US";"American Star Inn and Suites Atlantic City";"Galloway Township";2016-08-03;"The beds were horrible. As soon as I got home, I napped all day to recover from the three nights I didn't sleep at the hotel. The towels are all stained with who knows what. The floor was lumpy and hard. The hotel needs to be either torn down and rebuilt or heavily renovated.";"Who needs sleep?";"A Traveler";" bed horrible soon get home nap day recover three night sleep hotel towel stain know floor lumpy hard hotel need either tear rebuild heavily renovate need sleep";"text239";0;1;"negative";0;0,470956573754016;"negative";"same";-0,470956573754016;"5"
"9152";"1776 Grant St";"Denver";"US";"Warwick Denver";"CO";2016-06-29;"Staff very disingenuous and rude 37 a night for parking is out of bounds.";"never again";"raymond";" staff disingenuous rude night park bound never ";"text267";0;1;"negative";0;0,470956573754016;"negative";"same";-0,470956573754016;"5"
"10687";"4021 Union Deposit Rd";"Harrisburg";"US";"Holiday Inn Express - Harrisburg East";"PA";2016-07-22;"Outdated and dirty. Not at all worth the cost of the stay";"Not bad";"Nicole";" outdate dirty worth cost stay bad";"text332";0;1;"negative";0;0,470956573754016;"negative";"same";-0,470956573754016;"5"
"11207";"24320 Rogers Clark Blvd";"Ruther Glen";"US";"Days Inn Ruther Glen Kings Dominion Area";"VA";2015-09-28;"The bathroom door didn't close or lock, no vent fan in bathroom, lights took a long time to turn on, curtain wasn't big enough so it wouldn't stay close and people could see in, front door had big gaps and could see outside.";"Rooms were gross";"A Traveler";" bathroom door close lock vent fan bathroom light take long time turn curtain big enough stay close people can see front door big gap can see outside room gross";"text342";0;1;"negative";0;0,470956573754016;"negative";"same";-0,470956573754016;"5"
"11268";"Predio Paraiso Escondido S/n";"Virginia Beach";"US";"Pueblo Bonito Sunset Beach Resort & Spa - All Inclusive";"VA";2016-06-07;"Terrible check-in help and hotel info Extra charges on the food and drink tabs to increase the tip even though it was all-inclusive";"Sunset beach";"Fatih";" terrible check help hotel info extra charge food drink tab increase tip even though inclusive sunset beach";"text345";0;1;"negative";0;0,470956573754016;"negative";"same";-0,470956573754016;"5"
"14557";"211/1 Moo 4";"Eden";"US";"Samui Cliff View Resort & Spa";"UT";2014-10-31;"2 don't disturb3 Villa";"������������������������������������������";"ZHEN";" disturb villa ������������������������������������������";"text499";0;1;"negative";0;0,470956573754016;"negative";"same";-0,470956573754016;"5"
"14720";"12920 Aldrich Ave S";"Burnsville";"US";"Norwood Inn and Suites";"MN";2016-04-13;"Room key kept deactivating";"Nasty Room!!!";"Terrence";" room key keep deactivate nasty room";"text512";0;1;"negative";0;0,470956573754016;"negative";"same";-0,470956573754016;"5"
"15000";"95 Route 17k";"Newburgh";"US";"Howard Johnson Inn - Newburgh";"NY";2007-07-30;"Finding bedbugs crawling all over the pillows and then all over the bed after the pillows were lifted was an utterly horrible experience. Less than 10 minutes after we got into the room, we left even though it was 4:30 in the morning and our flight had landed hours late and we were overtired. There was no question of asking for another room because if there are bedbugs in one room, you can just bet the entire hotel is infested.";"Stay Away From This Hotel!!!";"A verified traveler";" find bedbug crawl pillow bed pillow lift utterly horrible experience little minute get room leave even though morning flight land hour late overtired question ask another room bedbug one room can just bet entire hotel infest stay away hotel";"text526";0;1;"negative";0;0,470956573754016;"negative";"same";-0,470956573754016;"5"
"15008";"95 Route 17k";"Newburgh";"US";"Howard Johnson Inn - Newburgh";"NY";2013-10-20;"Convenient";"Not bad";"Vivek";"convenient bad ";"text527";0;1;"negative";0;0,470956573754016;"negative";"same";-0,470956573754016;"5"
"15032";"95 Route 17k";"Newburgh";"US";"Howard Johnson Inn - Newburgh";"NY";2012-10-27;"The room resemble motels of the 1950's. The TV was bad, no mattress pad on the mattress.";"Use only if you have no other choice.";"A verified traveler";" room resemble motel s tv bad mattress pad mattress use choice";"text528";0;1;"negative";0;0,470956573754016;"negative";"same";-0,470956573754016;"5"
"15155";"95 Route 17k";"Newburgh";"US";"Howard Johnson Inn - Newburgh";"NY";2012-09-07;"The desk person call me a name among other things she said to me. Profanity. TV renite did not work, they could not send anyone and she expected me to get dresses at 10 PM and change rooms by going to the main desk and getting new keys. Never go there as it could be dangerous to your health.";"Disquisting";"A verified traveler";" desk person call name among thing say profanity tv renite work can send anyone expect get dress pm change room go main desk get new key never go can dangerous health disquisting";"text538";0;1;"negative";0;0,470956573754016;"negative";"same";-0,470956573754016;"5"
"15785";"Via Villa Rosato 20 22";"Palermo";"US";"Hotel Casena Dei Colli";"PA";2016-06-12;"mauvaise";"d����u";"chamarier";"bad d����u ";"text571";0;1;"negative";0;0,470956573754016;"negative";"same";-0,470956573754016;"5"
"15803";"Via Villa Rosato 20 22";"Palermo";"US";"Hotel Casena Dei Colli";"PA";2016-07-05;"Hotel pas conforme la description expdia, matelas trop court, trou dans la porte, traces grasses sur les murs, douche moisie. Trs mal insonorise. TV fonctionnant mal mme aprs l'avoir signal au personnel de l'tablissement, pas de volet donc lumire du jour qui rentre dans la chambre ds 6 h 00 du matin + double rideau cass. Pas de place de parking le soir (organisation de rception). Quartier dsagrable, mal frquent.";"Hotel pas conforme aux photographies";"g";"hotel accordance expdia description mattress short hole door greasy mark wall moldy shower poorly soundproof tv malfunction even signal staff establishment shutter therefore daylight enter room double curtain break park space even reception organization unpleasant neighborhood poorly attend hotel accordance photograph ";"text573";0;1;"negative";0;0,470956573754016;"negative";"same";-0,470956573754016;"5"
"16151";"1020 S E Blue Pkwy";"Lees Summit";"US";"Americas Best Value Inn and Suites";"Lk Lotawana";2015-09-02;"bed bugs, roaches, dirty";"disappointed";"A Traveler";" bed bug roach dirty disappoint";"text589";0;1;"negative";0;0,470956573754016;"negative";"same";-0,470956573754016;"5"
"16161";"1020 S E Blue Pkwy";"Lees Summit";"US";"Americas Best Value Inn and Suites";"Lk Lotawana";2015-07-13;"Only thing wrong was we had to request for ash trays in our smoking room.";"Close to Sisters House.";"Mike";" thing wrong request ash tray smoke room close sister house";"text590";0;1;"negative";0;0,470956573754016;"negative";"same";-0,470956573754016;"5"
"17832";"1701 Us Highway 93 S";"Kalispell";"US";"Fairbridge Inn";"MT";2015-07-23;"The room was dirty, creepy and old. It smelled of smoke. The outside doors didn't lock and had poor lighting in the back parking lot. Wierd looking men were sitting in chairs in the parking lot. It was dark when we arrived and we were scared to walk into the hotel.";"The room was smokey and old. It was dirty!";"campersnightmar";" room dirty creepy old smell smoke outside door lock poor light back park lot wierd look man sit chair park lot dark arrive scare walk hotel room smokey old dirty";"text692";0;1;"negative";0;0,470956573754016;"negative";"same";-0,470956573754016;"5"
"22229";"1282 W 7th St";"Upland";"US";"Super 8 - Upland";"CA";2015-05-22;"First room had only a trickle of cold water. To hot for bath anything else. Moved to second room no air conditioning or microwave. No coffee the second morning. Third morning a little decaf and no rolls. One morning no waffles. It seems once they run out they don't replenish because my times each morning were around 7:45.";"no cold water/no micro wave/no air conditioning/no";"Bob";" first room trickle cold water hot bath anything else move room air condition microwave coffee morning morning little decaf roll one morning waffle seem run replenish time morning around cold water micro wave air condition ";"text841";0;1;"negative";0;0,470956573754016;"negative";"same";-0,470956573754016;"5"
"22776";"42 Avenue Guy De Collongue";"Cozad";"US";"Campanile Lyon Ecully";"NE";2016-09-07;"Pratique pour le travail A viter pour le loisir Conforme aux standards Campanile ... !!!! Erreur de code d'entre de la porte de parking Petit djeuner mdiocre Donc cher en terme de rapport Qualit / prix";"Pour le travail uniquement";"A Traveler";"convenient work avoid leisure comply campanile standard park door entry code error poor breakfast expensive term quality price ratio work ";"text873";0;1;"negative";0;0,470956573754016;"negative";"same";-0,470956573754016;"5"
"24057";"1035 W South Blvd";"Montgomery";"US";"Comfort Inn Montgomery";"AL";2016-04-23;"Breakfast should last until 10 am. The 3 of us got up at 8am and didn't make it to breakfast. If you are going to offer something, make it available for the majority.";"worst";"Eugene J.";" breakfast last us get am make breakfast go offer something make available majority bad";"text911";0;1;"negative";0;0,470956573754016;"negative";"same";-0,470956573754016;"5"
"24073";"1035 W South Blvd";"Montgomery";"US";"Comfort Inn Montgomery";"AL";2016-03-15;"No complaints. Older room.";"Decent big place for reasonable price";"Mark";" complaint old room decent big place reasonable price";"text913";0;1;"negative";0;0,470956573754016;"negative";"same";-0,470956573754016;"5"
"25061";"249 Route Nationale 20";"Portland";"US";"Inter-hotel Orl��ans Nord";"OH";2016-06-18;"Attention chambre du second tage mal isoles du coup reveil matinal :(";"Pratique mais pour une nuit";"Charles";"beware bedroom floor poorly isolate wake call practical one night ";"text941";0;1;"negative";0;0,470956573754016;"negative";"same";-0,470956573754016;"5"
"26152";"50 Capital Ave S W";"Battle Creek";"US";"Mccamly Plaza Hotel";"MI";2016-06-10;"Not bad. There were no towels in the room upon check-in. Theybrought some up promply.";"Something in the sheets";"A Traveler";" bad towel room upon check theybrought promply something sheet";"text977";0;1;"negative";0;0,470956573754016;"negative";"same";-0,470956573754016;"5"
"26217";"4711 N Elizabeth";"Pueblo";"US";"Wingate By Wyndham Pueblo";"CO";2015-08-22;"no issues - basic hotel but seemed expensive for the area";"Not a bad choice";"Kimberly";" issue basic hotel seem expensive area bad choice";"text980";0;1;"negative";0;0,470956573754016;"negative";"same";-0,470956573754016;"5"
"26735";"153 James Asbury Dr N W";"Cleveland";"US";"Quality Inn";"TN";2015-08-06;"Had 3 roaches crawling on the walls! The main problem was the room was 150 degrees at 10pm at night!! The air was off and it took until after midnight to even be able to fall asleep because so hot!";"Convenient to interstate";"Kristi";" roach crawl wall main problem room degree pm night air take midnight even able fall asleep hot convenient interstate";"text1003";0;1;"negative";0;0,470956573754016;"negative";"same";-0,470956573754016;"5"
"27354";"4934 N W Loop 410";"San Antonio";"US";"Fiesta Inn and Suites";"TX";2016-06-11;"This hotel was uful could not sleep there where thousands of coucoraches and very sacary people never will stay again";"Awful";"Francisco";" hotel uful can sleep thousand coucoraches sacary people never stay awful";"text1020";0;1;"negative";0;0,470956573754016;"negative";"same";-0,470956573754016;"5"
"27455";"4934 N W Loop 410";"San Antonio";"US";"Fiesta Inn and Suites";"TX";2015-09-23;"Dirty, roaches, hole in wall, ripped bed, overflowing trash. Felt unsafe. Chose to sleep in car in a supermarket parking lot until we found another hotel. It was that bad.";"Filthy hotel";"A verified traveler";" dirty roach hole wall rip bed overflow trash feel unsafe choose sleep car supermarket park lot find another hotel bad filthy hotel";"text1026";0;1;"negative";0;0,470956573754016;"negative";"same";-0,470956573754016;"5"
"27565";"4934 N W Loop 410";"San Antonio";"US";"Fiesta Inn and Suites";"TX";2014-03-06;"DISGUSTING! Very dirty, bed bugs, and nothing worked.";"Is it possible to give a ""zero"" rating";"A verified traveler";" disgust dirty bed bug nothing work possible give zero rate";"text1035";0;1;"negative";0;0,470956573754016;"negative";"same";-0,470956573754016;"5"
"27690";"4934 N W Loop 410";"San Antonio";"US";"Fiesta Inn and Suites";"TX";2012-06-06;"There was notmany toliets in the room and bed to close to the bedroom door.";"The worst";"A verified traveler";" notmany toliets room bed close bedroom door bad";"text1045";0;1;"negative";0;0,470956573754016;"negative";"same";-0,470956573754016;"5"
"28135";"7875 E Hwy 69";"Prescott Valley";"US";"Arizona Inn of Prescott Valley";"AZ";2016-10-02;"Bad need of maintenance (phone chargers fall out of the plugs due to loose electric outlets, mounted fixtures loose due to poor maintenance ie towel holder). Made reservations for three, only two towels in bathroom had to request more. Rooms dirty, old coffee filter still in coffee pot, pen cap and unused condom left under bed. Ice Box needed defrosting. Even though price should reflect some discrepancies you would expect more.";"Dirty";"A Traveler";" bad need maintenance phone charger fall plug due loose electric outlet mount fixture loose due poor maintenance ie towel holder make reservation three two towel bathroom request much room dirty old coffee filter still coffee pot pen cap unused condom leave bed ice box need defrost even though price reflect discrepancy expect much dirty";"text1068";0;1;"negative";0;0,470956573754016;"negative";"same";-0,470956573754016;"5"
"28762";"2607 Atlantic Ave";"Virginia Beach";"US";"Holiday Inn Express Hotel and Suites Va Beach Oceanfront";"VA";2015-08-23;"I booked a last minute trip for Virginia Beach for the family before the children headed back to school.There are pluses and negatives for this properties. First off it the high season so any hotel on the ocean front will be pricey, no shock there. This property is a Select Service hotel meaning limited services are available. Np because they... More";"Wait Time To Check In To Rooms Can Be Long!";"cheertraveler97";" book last minute trip virginia beach family child head back school plus negative property first high season hotel ocean front pricey shock property select service hotel mean limit service available np much wait time check room can long";"text1095";0;1;"negative";0;0,470956573754016;"negative";"same";-0,470956573754016;"5"
"29791";"23702 Rockfield Blvd";"Lake Forest";"US";"Quality Inn and Suites Irvine Spectrum";"CA";2015-12-17;"That was horrible experience , I wish I could have stayed other place at that night , but the receptionist said I can't get refund !";"Convenience";"Soheil";" horrible experience wish can stay place night receptionist say get refund convenience";"text1126";0;1;"negative";0;0,470956573754016;"negative";"same";-0,470956573754016;"5"
"31996";"222 N Ingram Mill Rd";"Springfield";"US";"Greenstay Hotel and Suites";"MO";2016-10-17;"Common areas were not clean Breakfast room was in bad need of mopping stains on all floors in common areas...elevator dirty floor and walls";"Dirty common areas";"A Traveler";" common area clean breakfast room bad need mop stain floor common area elevator dirty floor wall dirty common area";"text1232";0;1;"negative";0;0,470956573754016;"negative";"same";-0,470956573754016;"5"
"32623";"12825 Ventura Blvd";"Studio City";"US";"Sportsmen's Lodge";"CA";2011-09-14;"ask for a room with pool views, not views of the sad looking trees in the parking lot.";"Needs to upgrade simple to fix deficiencies";"Jorge H.";" ask room pool view view sad look tree park lot need upgrade simple fix deficiency";"text1257";0;1;"negative";0;0,470956573754016;"negative";"same";-0,470956573754016;"5"
